LID 	 PID 	 TYPE 	 AREA 	 AREA_CSD 	 AREA_LSD 	 PERIM 	 PERIM_CSD 	 PERIM_CPS 	 PERIM_LSD 	 GYRATE 	 PARA 	 SHAPE
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	115	 bare 	0.64	0.4869	-0.1746	700	0.5539	76.9231	-0.1639	49.589	1093.75	2.1875
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	116	 bare 	0.28	-0.2111	-0.1844	240	-0.3561	53.8462	-0.2949	20.3575	857.1429	1.0909
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	117	 forest 	0.01	-0.2402	-0.1918	40	-0.4518	0	-0.3519	5	4000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	118	 forest 	0.16	-0.2358	-0.1877	200	-0.3937	17.1429	-0.3063	16.7369	1250	1.25
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	119	 forest 	0.01	-0.2402	-0.1918	40	-0.4518	0	-0.3519	5	4000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	120	 bare 	0.19	-0.3856	-0.1868	360	-0.1187	61.5385	-0.2607	35.672	1894.7368	2
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	121	 arable 	3.95	-0.4417	-0.0842	1060	-0.4206	50	-0.0614	103.317	268.3544	1.325
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	122	 bare 	0.02	-0.7152	-0.1915	60	-0.7121	15.3846	-0.3462	5	3000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	123	 bare 	0.01	-0.7346	-0.1918	40	-0.7517	0	-0.3519	5	4000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	124	 bare 	0.01	-0.7346	-0.1918	40	-0.7517	0	-0.3519	5	4000	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	125	 grassland 	0.11	-0.3834	-0.189	140	-0.4418	18.75	-0.3234	12.5309	1272.7273	1
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	126	 grassland 	0.08	-0.3859	-0.1898	140	-0.4418	18.75	-0.3234	11.0824	1750	1.1667
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	127	 arable 	0.09	-0.4734	-0.1896	200	-0.5015	16.6667	-0.3063	19.3788	2222.2222	1.6667
C:\Users\JetteR\ownCloud\Bibs\Fragstats\300x300Beispiel\Agroscapelab_10m_300x300_gerastert_Fragstats.asc 	128	 arable 	0.02	-0.4739	-0.1915	60	-0.5147	0	-0.3462	5	3000	1
